purchase_order_id,vendor_id,requested_by_employee_id,approved_by_employee_id,department,po_type,procurement_category,po_date,expected_delivery_date,po_amount_inr,currency,payment_terms_days,po_status,priority,fiscal_year,created_at,updated_at
PO-2024-000001,VEN-100674,EMP-20026,EMP-20128,Procurement,Standard,Professional Services,2024-01-22,2024-02-07,238147.72,INR,30,Approved,Medium,2023-24,2024-01-22T17:27:00,2024-01-22T17:27:00
PO-2022-000002,VEN-100294,EMP-20056,EMP-20128,Admin,Standard,Material Procurement,2022-03-28,2022-04-19,491564.52,INR,45,Closed,Low,2021-22,2022-03-28T17:17:00,2022-03-28T19:17:00
PO-2023-000003,VEN-100718,EMP-20089,EMP-20079,Procurement,Standard,Logistics & Transportation,2023-01-06,2023-01-26,145496.61,INR,90,Cancelled,Medium,2022-23,2023-01-06T17:16:00,2023-01-07T00:16:00
PO-2022-000004,VEN-100602,EMP-20030,EMP-20111,Legal,Contract,Raw Materials,2022-01-29,2022-03-16,8192153.17,INR,60,Closed,High,2021-22,2022-01-29T08:42:00,2022-02-01T12:42:00
PO-2024-000005,VEN-100283,EMP-20058,EMP-20072,Procurement,Blanket,Professional Services,2024-10-04,2024-11-07,2210568.01,INR,30,Closed,Medium,2024-25,2024-10-04T18:41:00,2024-10-05T20:41:00
PO-2024-000006,VEN-100601,EMP-20060,,Procurement,Standard,Material Procurement,2024-11-03,2024-11-23,319077.97,INR,60,Rejected,Low,2024-25,2024-11-03T08:14:00,2024-11-03T13:14:00
PO-2023-000007,VEN-100507,EMP-20064,EMP-20128,Legal,Standard,Professional Services,2023-03-22,2023-04-16,732680.50,INR,45,Closed,Medium,2022-23,2023-03-22T15:09:00,2023-03-26T17:09:00
PO-2021-000008,VEN-100396,EMP-20126,EMP-20116,Procurement,Standard,Raw Materials,2021-10-11,2021-11-03,603935.70,INR,30,Approved,Medium,2021-22,2021-10-11T15:05:00,2021-10-11T16:05:00
PO-2023-000009,VEN-100334,EMP-20142,EMP-20069,Operations,Standard,IT & Software,2023-12-20,2024-01-08,552372.94,EUR,45,Closed,Medium,2023-24,2023-12-20T16:55:00,2023-12-20T17:55:00
PO-2026-000010,VEN-100707,EMP-20121,EMP-20067,Procurement,Service,Logistics & Transportation,2026-05-08,2026-06-01,1164468.16,INR,30,Approved,Medium,2026-27,2026-05-08T16:48:00,2026-05-11T00:48:00
PO-2026-000011,VEN-100302,EMP-20142,EMP-20010,Operations,Standard,IT & Software,2026-05-07,2026-05-30,520185.86,INR,45,Closed,Medium,2026-27,2026-05-07T08:38:00,2026-05-12T15:38:00
PO-2024-000012,VEN-100245,EMP-20026,EMP-20085,Procurement,Contract,Raw Materials,2024-03-07,2024-04-22,17695715.68,INR,30,Partially Invoiced,Medium,2023-24,2024-03-07T09:46:00,2024-03-14T10:46:00
PO-2026-000013,VEN-100599,EMP-20034,EMP-20055,Procurement,Standard,Construction & Contracting,2026-05-30,2026-06-17,393343.84,INR,45,Closed,Low,2026-27,2026-05-30T16:48:00,2026-06-02T20:48:00
PO-2021-000014,VEN-100506,EMP-20148,EMP-20007,IT,Service,Raw Materials,2021-02-13,2021-03-14,685245.12,INR,45,Closed,Medium,2020-21,2021-02-13T16:14:00,2021-02-22T19:14:00
PO-2022-000015,VEN-100238,EMP-20018,EMP-20024,Operations,Service,Professional Services,2022-05-03,2022-05-27,135366.96,INR,30,Approved,High,2022-23,2022-05-03T18:31:00,2022-05-07T02:31:00
PO-2023-000016,VEN-100321,EMP-20128,EMP-20069,IT,Service,Material Procurement,2023-06-02,2023-06-27,402346.00,INR,30,Closed,Medium,2023-24,2023-06-02T14:26:00,2023-06-09T14:26:00
PO-2022-000017,VEN-100700,EMP-20145,EMP-20072,Operations,Contract,Construction & Contracting,2022-01-28,2022-03-17,2869939.55,INR,30,Approved,High,2021-22,2022-01-28T16:28:00,2022-01-30T22:28:00
PO-2021-000018,VEN-100354,EMP-20065,EMP-20133,Operations,Standard,Logistics & Transportation,2021-04-14,2021-05-09,702726.61,INR,30,Approved,High,2021-22,2021-04-14T16:53:00,2021-04-14T17:53:00
PO-2021-000019,VEN-100387,EMP-20042,,Procurement,Standard,Construction & Contracting,2021-01-05,2021-01-26,398052.77,INR,60,Pending Approval,High,2020-21,2021-01-05T12:59:00,2021-01-12T16:59:00
PO-2024-000020,VEN-100523,EMP-20126,EMP-20019,Procurement,Service,Material Procurement,2024-01-16,2024-02-05,755673.55,INR,45,Approved,Urgent,2023-24,2024-01-16T13:03:00,2024-01-16T20:03:00
PO-2025-000021,VEN-100581,EMP-20118,EMP-20010,Procurement,Standard,Logistics & Transportation,2025-11-01,2025-11-19,769603.65,INR,30,Approved,Medium,2025-26,2025-11-01T14:07:00,2025-11-10T17:07:00
PO-2022-000022,VEN-100632,EMP-20133,EMP-20147,IT,Standard,Professional Services,2022-02-23,2022-03-20,88537.14,INR,45,Closed,Low,2021-22,2022-02-23T13:15:00,2022-02-27T19:15:00
PO-2024-000023,VEN-100320,EMP-20148,,IT,Service,IT & Software,2024-06-26,2024-07-25,712975.63,INR,45,Pending Approval,High,2024-25,2024-06-26T09:04:00,2024-07-04T12:04:00
PO-2025-000024,VEN-100583,EMP-20063,EMP-20019,Procurement,Standard,Material Procurement,2025-09-04,2025-09-27,295481.85,INR,30,Approved,Medium,2025-26,2025-09-04T12:39:00,2025-09-14T20:39:00
PO-2025-000025,VEN-100238,EMP-20148,EMP-20059,IT,Blanket,Professional Services,2025-03-01,2025-04-08,1847204.38,INR,30,Closed,Medium,2024-25,2025-03-01T10:17:00,2025-03-05T13:17:00
PO-2021-000026,VEN-100731,EMP-20075,EMP-20081,IT,Standard,Material Procurement,2021-04-15,2021-05-01,516534.42,INR,30,Approved,Medium,2021-22,2021-04-15T18:27:00,2021-04-19T18:27:00
PO-2024-000027,VEN-100236,EMP-20073,EMP-20128,Procurement,Service,IT & Software,2024-02-23,2024-03-14,973814.40,INR,30,Approved,Medium,2023-24,2024-02-23T09:04:00,2024-02-25T17:04:00
PO-2026-000028,VEN-100257,EMP-20079,EMP-20055,IT,Service,Logistics & Transportation,2026-06-15,2026-07-05,264735.99,INR,45,Approved,Medium,2026-27,2026-06-15T13:13:00,2026-06-25T16:13:00
PO-2026-000029,VEN-100696,EMP-20025,,IT,Standard,IT & Software,2026-03-11,2026-03-29,458909.73,INR,30,Pending Approval,Urgent,2025-26,2026-03-11T10:51:00,2026-03-13T16:51:00
PO-2022-000030,VEN-100248,EMP-20047,EMP-20133,Procurement,Service,Logistics & Transportation,2022-05-24,2022-06-17,531668.93,INR,30,Cancelled,Low,2022-23,2022-05-24T10:50:00,2022-05-25T16:50:00
PO-2022-000031,VEN-100258,EMP-20105,EMP-20055,Procurement,Standard,Professional Services,2022-04-02,2022-04-17,657854.62,INR,30,Closed,High,2022-23,2022-04-02T18:12:00,2022-04-08T23:12:00
PO-2022-000032,VEN-100416,EMP-20016,EMP-20101,Operations,Contract,Material Procurement,2022-11-10,2022-12-25,6303374.86,INR,30,Closed,Low,2022-23,2022-11-10T09:56:00,2022-11-14T11:56:00
PO-2023-000033,VEN-100633,EMP-20063,EMP-20133,Procurement,Standard,Professional Services,2023-11-14,2023-11-30,487342.72,INR,30,Approved,Medium,2023-24,2023-11-14T14:57:00,2023-11-23T17:57:00
PO-2025-000034,VEN-100401,EMP-20011,,IT,Service,Material Procurement,2025-02-28,2025-03-30,52452.35,INR,30,Pending Approval,Low,2024-25,2025-02-28T11:23:00,2025-03-06T12:23:00
PO-2022-000035,VEN-100694,EMP-20073,EMP-20067,Procurement,Service,Professional Services,2022-10-31,2022-11-26,1011911.84,INR,30,Approved,Low,2022-23,2022-10-31T12:35:00,2022-11-02T15:35:00
PO-2024-000036,VEN-100522,EMP-20148,,IT,Contract,Material Procurement,2024-01-28,2024-03-13,13869040.96,INR,45,Pending Approval,Low,2023-24,2024-01-28T12:18:00,2024-01-31T18:18:00
PO-2026-000037,VEN-100633,EMP-20134,EMP-20019,Operations,Service,Professional Services,2026-05-20,2026-06-11,724232.88,INR,30,Approved,Low,2026-27,2026-05-20T18:05:00,2026-05-25T02:05:00
PO-2022-000038,VEN-100694,EMP-20143,EMP-20066,Operations,Service,Professional Services,2022-02-12,2022-03-06,185411.44,INR,30,Cancelled,Low,2021-22,2022-02-12T08:02:00,2022-02-15T15:02:00
PO-2022-000039,VEN-100655,EMP-20018,EMP-20128,Operations,Standard,Material Procurement,2022-05-15,2022-06-01,711756.10,INR,30,Closed,Low,2022-23,2022-05-15T18:44:00,2022-05-15T19:44:00
PO-2021-000040,VEN-100524,EMP-20057,EMP-20001,Legal,Standard,Logistics & Transportation,2021-09-06,2021-09-28,767423.68,INR,30,Closed,Low,2021-22,2021-09-06T10:51:00,2021-09-13T18:51:00
PO-2025-000041,VEN-100617,EMP-20133,EMP-20146,IT,Standard,Logistics & Transportation,2025-08-29,2025-09-21,610318.76,INR,30,Approved,Low,2025-26,2025-08-29T15:57:00,2025-08-31T22:57:00
PO-2023-000042,VEN-100543,EMP-20063,EMP-20103,Procurement,Service,Material Procurement,2023-06-20,2023-07-11,1267801.19,INR,90,Approved,Low,2023-24,2023-06-20T12:15:00,2023-06-24T17:15:00
PO-2023-000043,VEN-100443,EMP-20123,EMP-20054,Procurement,Standard,Construction & Contracting,2023-04-15,2023-05-05,141893.76,INR,30,Approved,Low,2023-24,2023-04-15T16:29:00,2023-04-21T16:29:00
PO-2023-000044,VEN-100370,EMP-20088,EMP-20001,Procurement,Standard,Professional Services,2023-02-19,2023-03-13,621591.72,INR,30,Cancelled,High,2022-23,2023-02-19T08:22:00,2023-02-23T14:22:00
PO-2023-000045,VEN-100521,EMP-20121,EMP-20019,Procurement,Service,Material Procurement,2023-09-22,2023-10-12,841891.85,INR,30,Closed,Low,2023-24,2023-09-22T14:21:00,2023-10-02T20:21:00
PO-2021-000046,VEN-100343,EMP-20103,EMP-20075,Admin,Blanket,Material Procurement,2021-06-21,2021-07-31,4913248.90,INR,60,Closed,Low,2021-22,2021-06-21T14:08:00,2021-06-28T16:08:00
PO-2026-000047,VEN-100265,EMP-20063,EMP-20141,Procurement,Standard,Material Procurement,2026-05-03,2026-05-24,189036.72,INR,45,Approved,High,2026-27,2026-05-03T12:53:00,2026-05-04T19:53:00
