vendor_id,vendor_name,vendor_type,gst_number,pan_number,bank_account_number,ifsc_code,city,state,onboarding_date,vendor_status,risk_category,contact_email,contact_phone,payment_terms_days,last_transaction_date
VEN-100234,Nexora Infra Projects Pvt Ltd,Contractor,07DCTOP0026R4ZY,DCTOP0026R,258086319300868759,KKBK02AMVD6,Delhi,Delhi,2021-09-16,Active,Low,info@nexora.com,+916883481367,45,2025-03-15
VEN-100235,Everest Constructions Pvt Ltd,Contractor,07JZQOR8720K7ZH,JZQOR8720K,298363942252,BARB0FLDZ4H,Delhi,Delhi,2023-08-13,Active,Low,info@everest.com,+919535425961,15,2025-10-01
VEN-100236,Prime Technologies Pvt Ltd,IT Vendor,29EASSZ7516U9ZC,EASSZ7516U,31999541398225,ICIC03H2RR4,Bengaluru,Karnataka,2021-01-30,Active,Low,info@prime.com,+919997673638,30,2025-09-11
VEN-100237,Prime Industrial Supplies Pvt Ltd,Goods Supplier,36FFBQF9802V8ZD,FFBQF9802V,78524406348066,HDFC0ECV86G,Hyderabad,Telangana,2019-07-25,Active,Medium,accounts@primesupplies.in,+916485098998,30,2026-05-13
VEN-100238,Trident Services Pvt Ltd,Service Provider,07AKYUH6776P3ZC,AKYUH6776P,2070304950580084,BARB08LMFLI,Delhi,Delhi,2024-02-23,Active,Low,info@trident.com,+918362370499,30,2025-08-07
VEN-100239,Crystal Consulting LLP,Service Provider,09WJEVS6960R5Z6,WJEVS6960R,28712236852906,IOBA01C4Z5F,Noida,Uttar Pradesh,2023-01-20,Active,Medium,info@crystal.com,+917585113878,15,2025-08-04
VEN-100240,Northgate Contractors & Builders,Contractor,29OWZTY2171N1ZB,OWZTY2171N,7467217304193882,PUNB0EA2RCI,Bengaluru,Karnataka,2022-09-24,Active,Medium,info@northgate.com,+916825905374,90,2025-04-29
VEN-100241,Metrocorp Solutions Pvt Ltd,Service Provider,07SAYNS7630V6ZK,SAYNS7630V,733442149696,IOBA0EUA7SL,Delhi,Delhi,2020-06-23,Active,Low,info@metrocorp.com,+919797626609,30,2025-11-14
VEN-100242,Ganges Trading Co,Goods Supplier,27GMWBK6164H3Z0,GMWBK6164H,728645911455,AXIS0YWMPIT,Mumbai,Maharashtra,2018-11-22,Active,Low,accounts@gangessupplies.in,+918782742472,30,2026-07-08
VEN-100243,Deepak Trading Co,Goods Supplier,29DFKIM0837W1ZO,DFKIM0837W,037894756224036414,SBIN0ZJWLN3,Bengaluru,Karnataka,2022-11-11,Active,Low,accounts@deepaksupplies.in,+919343829484,60,2025-02-23
VEN-100244,Quantum Minerals & Metals Pvt Ltd,Raw Material Supplier,27UQTYF0116S4ZT,UQTYF0116S,7167189103693706,PUNB03RUL4Z,Pune,Maharashtra,2024-12-12,Active,Low,info@quantum.com,+916538819687,30,2026-06-19
VEN-100245,Lakshmi Materials Pvt Ltd,Raw Material Supplier,33VPIGY2475V7ZL,VPIGY2475V,434322585512,KKBK0HRONHS,Chennai,Tamil Nadu,2019-03-30,Active,Low,info@lakshmi.com,+918454737221,30,2025-05-03
VEN-100246,Falcon Systems Pvt Ltd,IT Vendor,07MSZNH1121A9Z8,MSZNH1121A,0029671024392810,UTIB02M15KA,Delhi,Delhi,2023-08-31,Active,Low,info@falcon.com,+917739254509,30,2025-08-01
