transaction_id,purchase_order_id,invoice_id,vendor_id,approver_employee_id,transaction_date,transaction_amount_inr,currency,payment_method,payment_reference,payment_status,payment_bank,department,branch,created_at,updated_at
TXN-000001,PO-2021-001318,INV-2021-001825,VEN-100663,EMP-20119,2021-01-15,273406.24,INR,NEFT,PAYREF000114191,Completed,HDFC Bank,IT,Chennai,2021-01-15T11:37:46,2021-01-16T16:37:46
TXN-000002,PO-2021-000549,INV-2021-000971,VEN-100298,EMP-20125,2021-01-31,350959.43,INR,RTGS,PAYREF000110441,Completed,HSBC,IT,Hyderabad,2021-01-31T17:02:23,2021-02-01T19:02:23
TXN-000003,PO-2021-000755,INV-2021-001213,VEN-100449,EMP-20090,2021-02-01,200000.00,INR,NEFT,PAYREF000116158,Completed,Axis Bank,Operations,Mumbai,2021-02-01T14:06:13,2021-02-02T05:06:13
TXN-000004,PO-2021-001935,INV-2021-002526,VEN-100684,EMP-20036,2021-02-03,81661.26,INR,NEFT,UTR000113320,Completed,SBI,Admin,Gurugram,2021-02-03T14:11:55,2021-02-04T17:11:55
TXN-000005,PO-2021-001994,INV-2021-002595,VEN-100419,EMP-20126,2021-02-05,258370.07,INR,NEFT,UTR000101488,Failed,ICICI Bank,Operations,Hyderabad,2021-02-05T18:58:38,2021-02-05T18:58:38
TXN-000006,PO-2021-000495,INV-2021-000911,VEN-100588,EMP-20028,2021-02-06,187206.83,INR,RTGS,TXNREF000103624,Completed,SBI,Operations,Hyderabad,2021-02-06T10:11:16,2021-02-07T12:11:16
TXN-000007,PO-2021-001301,INV-2021-001802,VEN-100706,EMP-20066,2021-02-07,47696.12,INR,NEFT,PAYREF000114088,Completed,Standard Chartered,Procurement,Noida,2021-02-07T12:49:55,2021-02-07T20:49:55
TXN-000008,PO-2021-001318,INV-2021-001825,VEN-100663,EMP-20040,2021-02-07,195240.86,INR,RTGS,TXNREF000110620,Completed,ICICI Bank,IT,Delhi,2021-02-07T10:18:39,2021-02-08T15:18:39
TXN-000009,PO-2021-000917,INV-2021-001392,VEN-100317,EMP-20088,2021-02-09,608212.85,INR,RTGS,UTR000101611,Completed,Axis Bank,Procurement,Hyderabad,2021-02-09T18:47:27,2021-02-10T04:47:27
TXN-000010,PO-2021-001469,INV-2021-001994,VEN-100516,EMP-20017,2021-02-12,280049.72,INR,RTGS,PAYREF000105204,Completed,HSBC,Operations,Bengaluru,2021-02-12T15:16:31,2021-02-13T02:16:31
TXN-000011,PO-2021-000755,INV-2021-001213,VEN-100449,EMP-20114,2021-02-13,264206.63,INR,NEFT,UTR000115588,Completed,Kotak Mahindra Bank,Operations,Bengaluru,2021-02-13T11:12:12,2021-02-13T14:12:12
TXN-000012,PO-2021-000549,INV-2021-000971,VEN-100298,EMP-20101,2021-02-14,484443.86,INR,NEFT,UTR000110513,Completed,Axis Bank,IT,Noida,2021-02-14T11:25:02,2021-02-15T02:25:02
TXN-000013,PO-2021-000549,INV-2021-000971,VEN-100298,EMP-20147,2021-02-17,330007.11,INR,Wire Transfer,UTR000108346,Completed,HSBC,IT,Delhi,2021-02-17T15:13:23,2021-02-18T15:13:23
TXN-000014,PO-2021-000170,INV-2021-000332,VEN-100237,EMP-20028,2021-02-17,94918.42,INR,Wire Transfer,UTR000113277,Completed,Standard Chartered,Procurement,Pune,2021-02-17T15:31:50,2021-02-19T12:31:50
TXN-000015,PO-2021-000549,INV-2021-000971,VEN-100298,EMP-20105,2021-02-18,963843.08,INR,NEFT,TXNREF000103066,Completed,Axis Bank,IT,Gurugram,2021-02-18T15:16:47,2021-02-20T08:16:47
TXN-000016,PO-2021-001318,INV-2021-001825,VEN-100663,EMP-20054,2021-02-20,458285.63,INR,Wire Transfer,PAYREF000103594,Completed,SBI,IT,Mumbai,2021-02-20T16:39:28,2021-02-22T00:39:28
TXN-000017,PO-2021-000495,INV-2021-000911,VEN-100588,EMP-20066,2021-02-21,75023.33,INR,NEFT,PAYREF000111130,Completed,Standard Chartered,Operations,Noida,2021-02-21T15:11:51,2021-02-22T23:11:51
TXN-000018,PO-2021-000629,INV-2021-001075,VEN-100405,EMP-20093,2021-02-21,65416.01,INR,RTGS,TXNREF000102381,Completed,HDFC Bank,Operations,Mumbai,2021-02-21T16:13:10,2021-02-22T06:13:10
TXN-000019,PO-2021-001469,INV-2021-001994,VEN-100516,EMP-20066,2021-02-22,156417.77,INR,NEFT,TXNREF000109174,Completed,HSBC,Operations,Mumbai,2021-02-22T12:11:46,2021-02-23T04:11:46
TXN-000020,PO-2021-001875,INV-2021-002458,VEN-100304,EMP-20116,2021-02-23,953546.65,INR,RTGS,UTR000115739,Completed,Kotak Mahindra Bank,Procurement,Hyderabad,2021-02-23T14:56:20,2021-02-24T01:56:20
TXN-000021,PO-2021-001994,INV-2021-002595,VEN-100419,EMP-20127,2021-02-26,151264.77,INR,RTGS,TXNREF000109692,Completed,HDFC Bank,Operations,Mumbai,2021-02-26T15:02:07,2021-02-27T21:02:07
