invoice_id,purchase_order_id,vendor_id,vendor_invoice_number,invoice_date,due_date,invoice_amount_inr,tax_amount_inr,total_amount_inr,currency,gst_invoice_number,match_status,invoice_status,verified_by_employee_id,verification_date,created_at,updated_at
INV-2024-000001,PO-2024-000001,VEN-100674,VINV/2024/92844,2024-03-15,2024-04-14,117366.69,21126.00,138492.69,INR,GST24INV216622,Partially Matched,Under Verification,EMP-20069,2024-03-21,2024-03-15T17:03:00,2024-03-21T14:29:00
INV-2024-000002,PO-2024-000001,VEN-100674,VINV/2024/34019,2024-02-20,2024-03-21,122159.84,21988.77,144148.61,INR,GST24INV928089,Matched,Paid,EMP-20093,2024-02-24,2024-02-20T09:14:00,2024-02-24T17:33:00
INV-2022-000003,PO-2022-000002,VEN-100294,VINV/2022/52756,2022-04-14,2022-05-29,232583.22,41864.98,274448.20,INR,GST22INV817511,Matched,Paid,EMP-20033,2022-04-19,2022-04-14T12:23:00,2022-04-19T17:22:00
INV-2022-000004,PO-2022-000002,VEN-100294,VINV/2022/78278,2022-05-03,2022-06-17,219902.05,39582.37,259484.42,INR,GST22INV031834,Matched,Paid,EMP-20140,2022-05-04,2022-05-03T15:50:00,2022-05-04T10:20:00
INV-2022-000005,PO-2022-000004,VEN-100602,VINV/2022/36678,2022-02-05,2022-04-06,1647994.23,296638.96,1944633.19,INR,GST22INV446641,Matched,Paid,EMP-20129,2022-02-10,2022-02-05T15:37:00,2022-02-10T11:16:00
INV-2022-000006,PO-2022-000004,VEN-100602,VINV/2022/03608,2022-03-13,2022-05-12,1612311.64,290216.10,1902527.74,INR,GST22INV053475,Matched,Rejected,EMP-20005,2022-03-15,2022-03-13T13:12:00,2022-03-15T14:05:00
INV-2022-000007,PO-2022-000004,VEN-100602,VINV/2022/41775,2022-03-29,2022-05-28,1572279.04,283010.23,1855289.27,INR,GST22INV591897,Partially Matched,Disputed,EMP-20136,2022-03-30,2022-03-29T18:25:00,2022-03-30T09:16:00
INV-2022-000008,PO-2022-000004,VEN-100602,VINV/2022/07770,2022-03-03,2022-05-02,1624888.45,292479.92,1917368.37,INR,GST22INV946607,Mismatched,Overdue,EMP-20052,2022-03-04,2022-03-03T11:11:00,2022-03-04T12:22:00
INV-2022-000009,PO-2022-000004,VEN-100602,VINV/2022/57840,2022-02-06,2022-04-07,1271166.89,228810.04,1499976.93,INR,GST22INV794714,Mismatched,Under Verification,EMP-20039,2022-02-09,2022-02-06T18:47:00,2022-02-09T17:37:00
INV-2024-000010,PO-2024-000005,VEN-100283,VINV/2024/88820,2024-11-02,2024-12-02,1095576.97,197203.85,1292780.82,INR,GST24INV935508,Matched,Paid,EMP-20031,2024-11-09,2024-11-02T15:15:00,2024-11-09T10:58:00
